,title,description
911,Civilization II: Multiplayer Gold Edition,"[""Ever since the original Civilization II was released, Macintosh gamers have been waiting for the promised multi-player edition, as well as versions of the two add-ons, Fantastic Worlds and Scenarios: Conflicts in Civilization.\n\nFinally, the wait is over with the release of the new multi-player version of Civilization II, complete with more new technologies and units than the original Civilization and a number of challenging new scenarios to test any player's mettle. Also included are a cheat menu and a new level, Deity, for those who felt unchallenged by the former most challenging level, Emperor.\n\nAn all new manual covers both the game and both expansion packs, giving details on the scenarios and tips on how to build your own complete scenarios with new units, new technologies and new art. Looking for a challenge? Looking to test your might against opposing civilizations or just the guys around the corner? Everything you need is here, in Civilization II Gold Edition."", 'In <I>Civilization II: Gold Edition,</I> players will enjoy the classic <I>Civilization II</I> and two scenario packs: <I>Conflicts in Civilization</I> and <I>CIV II: Fantastic Worlds</I>. Combined with the multiplayer features, the Gold Edition creates the ultimate challenge and the ultimate value in strategic gaming. <I>Civilization II: Gold Edition</I> includes all of the features of the classic <I>Civilization II</I> with the multiplayer option providing a whole new level of competition, vicious backstabbing, and unpredictable human-enemy leaders!']"
912,Spawn,"[""Special agent Al Simmons was tricked by his team and assassinated. After traveling to Hell, Simmons make a deal with the devil to get revenge. However, the deal was twisted and Simmons became a minion of Hell he became Spawn. Rather than accept this fate, Spawn searches for the opportunity to free himself from his misguided deal. You take control of Spawn as he fights his way through nine levels of action. In each of the stages, Spawn must eliminate the bad guys using punches, kicks, and any weapons he can find. However, there is always a chain weapon attached to Spawn's chest that can be used to eliminate nearby enemies. Occasionally, Spawn will have to chase evil down while riding a motorcycle. Help defeat the devil, and set SPAWN free.""]"
913,Jet Moto 3,"[""Superb graphics and fast action characterize 989 Studios' daredevil motocross game <I>Jet Moto 3</I>. Designed for one or two players, this game expands on the original two <I>Jet Moto</I> games with improved visuals and controls."", ""After choosing from a selection of characters (each with varying strengths), you can traverse four different courses using a futuristic all-terrain cycle. The well-designed tracks will challenge even veterans of the earlier <I>Jet Moto</I> titles. You will feel the cycle slipping on the ice of the Khumbu Icefall and develop a lump in your stomach as you jump over Devil's Canyon. On the down side, close-up views are difficult to manage, as the field of vision can easily be lost. This is especially a problem in the two-player, split-screen view."", ""While some gamers may grow tired of this game fairly quickly, there is enough meat here to keep racing fans interested until the courses are mastered. Learning the subtleties of each course can prepare hard-core racers for the game's more advanced seasonal competitions and racing circuits. <I>--Sal Barcia</I>"", '<b>Pros:</b> <ul> <li>Superb graphics</li> <li>Design improved over previous <I>Jet Moto</I> titles</li> </ul> <b>Cons:</b> <ul> <li>Close-up views are difficult to manage</li> <li>Non-racing fans may grow bored quickly</li> </ul>', 'Harness the blurring speed of 11 ultra-realistic all terrain jet hover bikes. Feel the bone-smashing action of 19 treacherous obstacle-ridden environments including subterranean graveyards; ancient cities; alien worlds and the wildest most thrilling stunt tracks ever designed. Experience an all-new blazing fast 3D engine with realistic MotoPhysics handling. Jostle sideswipe and rip it up in 1-player and 2-player competition.']"
914,Unreal Tournament - PC,"['Unreal Tournament - PC. This game includes: 1 Official Strategy Guide by Jamie Madigan (author), user guide, & 2 game CDs. Game of the Year 2000 Premier Award Winner Computer Gaming World.', ""In this follow-up to the bestselling <I>Unreal</I>, you and your team of Bots are fighting in a tournament to attain the crown of Unreal Grand Master. The teams you'll be playing against consist of the most ruthless scum the galaxy has to offer. You'll have to be cool under fire and keep your team working effectively if you hope to beat each of Unreal Tournament's 32 levels and come out the champion (or alive, for that matter). <P> <I>Unreal Tournament</I>'s got it all: a ton of amazing levels, exciting new weapons, brain-melting new modes of play (Capture the Flag, Assault Match, Domination Match, Last Man Standing, and--of course--Deathmatch!), unbelievably deadly Bots (computer controlled opponents or teammates), and a slew of other features that should have your happiness glands working overtime.""]"
915,Wheel of Time,"[""Based on Robert Jordan's fantasy novel series, The Wheel of Time is a gaming experience that will become your world.  Seize power by the strategic use of over 40 mystical artifacts.  Turn your castle into a citadel of war with multiple floor plans full of troops and booby traps.  Totally immersive 3-D environments with rich, state-of-the-art graphics.  Enhanced Unreal technology in blazing real-time!  Three multiplayer game types that challenge and engross.  TOTALLY AMAZING!"", ""This action/strategy game is based on Robert Jordan's best-selling series of fantasy novels. Created with an enhanced version of the Unreal engine, <i>Wheel of Time</i> mixes first-person 3-D action with strategy and even a bit of role playing. The huge world in which <i>Wheel of Time</i> takes place is lifted directly out of Jordan's pages. How you navigate the world will depend largely on whether you're in single-player or multiplayer mode. In the single-player game, the story centers on Elayna Sedai, the Keeper of the Chronicles of the White Tower. Her goals in the single player experience are unique, and, as you work to achieve them, you'll uncover the seeds of motivation in the other three characters (the Leader of the Children of Light, the Forsaken, and the Hound). These characters become more fleshed out in the multiplayer game. The multiplayer game is your chance to take up the mantle of any of these characters. The important thing to remember, though, is that the other characters view you as an enemy. While you're scrambling to obtain two more seals, so is everyone else--and they won't think twice about looting your Citadel to get them.""]"
916,Top Gun (Mac),"['Action-packed flight simulation and combat game where you compete (no, not with Tom Cruise) for the Top Gun trophy.']"
917,Road Rash 64,"['N64 Game Cartridge.', ""<I>Road Rash</I> is a game series that's been around since the Sega Genesis, but this is its first  incarnation on the Nintendo 64. For its part, THQ has done a smashing job of bringing the brawling  motorcycle game into the world of 3-D."", 'The game lacks much visual detail, but that lack allows a frame rate that never slows down, even when 10  or more bikers are on the road, hacking at each other and vying for the pole position. Like its ancestors,  <I>Road Rash 64</I> presents two goals--winning road races, and abusing other riders, including cops in  pursuit. The crashes are spectacular. Sparks fly as bikes scrape along the pavement, and riders perform  aerial acrobatics as they fly off their hogs. Text messages also appear onscreen to notify players of who  caused whom to crash--a nice touch that is reminiscent of online multiplayer PC games.', 'The game has two major classes of motorcycles: cruisers that are durable and fast on straightaways, and  sport bikes that are aerodynamic and nimble around turns. As players progress through a one-player game,  they will be invited to join one of two bike-centric gangs, supplying relative immunity from their brethren  during gameplay--unless you hit one of them first!', 'The multiplayer mode offers a number of different options, including lap races, death match, tag, and  pedestrian hunting. While the single-player game is pure adrenaline fun, <I>Road Rash 64</I> with four  players is an experience not to be missed.', 'In addition to thrilling sound effects, <I>Road Rash 64</I> has some very noisy, and very appropriate,  musical accompaniment from real recording artists such as Sugar Ray and the Mermen. <i>--Jeff  Young</i>', ""<b>Pros:</b> <ul> <li>Excellent in-game music</li> <li>Great control and fluid action</li> <li>A cathartic, high-energy experience, especially in multiplayer mode</li> </ul> <b>Cons:</b> <ul> <li>Graphics don't feature very detailed textures, even with expansion pack support</li> </ul>""]"
918,Age of Empires,"['<i>Age of Empires</i> is an epic, real-time strategy game spanning 10,000 years. Starting with minimal resources, players guide the evolution of small Stone Age tribes into great civilizations. Gamers can choose one of several ways to win the game, including world domination by conquering enemy civilizations, exploration of the known world, and economic victory through the accumulation of wealth.', 'Age of Empires was a highly anticipated game for the Mac because when it was released for the PC, it was widely viewed as a milestone in real-time strategy. Age of Empires is a unique hybrid of empire-building strategy games like Civilization II and real-time action strategy games like WarCraft, and it delivers a unique gaming experience.', ""On the surface, Age of Empires delivers the empire-building goods, encouraging you to advance your civilization from the Stone Age through to the Iron Age. However, this is about the only likeness to Civ II-style empire-building in the game. Unlike Civilization, in which your empire advances thanks to research and improvements, in Age of Empires your nation advances because you hoard resources and pay your way into first the Tool Age, then the Bronze Age, and finally the Iron Age. The result is that the notion of empire building is mainly a formality. With each advancement you can obtain improved buildings, naval ships, and units, but that doesn't necessarily change your strategy."", ""Strategy is, in fact, reduced to naval supremacy. Whichever player gets the most powerful navy first will generally win the game. Naval units are able to bombard buildings and land units and have a tremendously unfair advantage. Poor unit AI also has a big impact on Age of Empires's playability. Computer-controlled units are smart, very smart - even SkyNet and Terminator smart - while your units are dumb as bricks, unable to get from point A to point B without help."", ""All things considered, there is still a lot to like in Age of Empires. Despite the flaws in the empire-building aspects, the game adds a new twist to real-time strategy gaming, and that is enough to outweigh, or at least compensate for, many of the game's problems. If you're tired of the Command &amp; Conquer clone, this game definitely offers something different. Age of Empires still uses the tried-and-true resource-gathering model of C&amp;C and WarCraft, but instead of one or two resources, you now have four to contend with, which adds more complexity to the game."", 'There is also a huge variety of units to play with. Military units come in Infantry, Archer, Cavalry, and Siege varieties, each one possessing characteristics that advance as you advance from the Stone Age. The Infantry is the workhorse of the military, starting out as a simple man with a club and evolving to a heavily armored, tough Centurion. One of the most enjoyable parts of Age of Empires is advancing the military units.', 'Overall, the single-player game has quite a bit of depth to it. There are easily 40 to 50 hours worth of missions to complete. The missions can get a bit redundant, and some of the mission objectives are very difficult, but a mission editor greatly enhances long-term playability. Multiplayer games are limited to playing against other Mac users only.', ""Age of Empires is a compelling game, largely because it diverges in so many ways from traditional real-time strategy titles. But because Age of Empires treads new paths, it makes a few mistakes along the way, some of which can be forgiven and some of which are frustrating. Flaws aside, you'll have a good time playing. - Rick Sanchez"", '<b>Good News:</b> Unique, deep gameplay. Large variety of units. Lots of missions for long playability. Mission editor.', '<b>Bad News:</b> Poor unit AI. Naval units are too strong and unbalance gameplay.', '1999 MacAddict -- <i><a href=""https://secure.imaginemedia.com/group/maca/8VPX.html"">From MacAddict -- Subscribe now!</a></i><br /><br />When you first play Age of Empires, a warm feeling develops in your gut. Warcraft meets Civilization! Real-time empire-building! And does it ever look sharp and feel right.', ""But an uneasy feeling builds as you get deeper into it, a sense that all is not quite right. This is not quite the game you hoped for. Even worse, it has some definite problems. The pitfall when you review a game as anticipated and debated as this one is to make sure you criticize it for what it is, not for what you wish it was. I wish that Age of Empires was what it claimed to be - Civilization with a Warcraft twist. Instead, it is Warcraft with a hint of Civilization. That's all well and good, but it places it firmly in the action-oriented real-time combat camp, rather than in the high-minded empire-building of Civilization. The result is Warcraft in togas, with slightly more depth but a familiar feel."", 'Age of Empires places you on a map in an unexplored world, provides a few starting units, and lets you begin building an empire. Each game unfolds the same way. You begin with a town center and some villagers. The villagers are the basic laborers, and the town center enables you to build more of them and expand your settlement. The villagers are central to AOE: they gather resources, build structures, and repair units and buildings. Resources come in four forms: wood, food, stone, and gold. A certain amount of each is consumed to build various units and buildings, research new technology, and advance a civ to the next age.', 'There is no complex resource management or intricate economic model at work here. What you have is the same old real-time resource-gathering in period garb, with four resources instead of one or two. As your civ advances, you develop greater needs for these resources, but the way in which they are gathered and used becomes only marginally more complex (certain research can cause faster harvesting or more production). It appears on the surface to be a complex evocation of the way early civs gathered and used materials, but beneath the hood is the same old ""mine tiberium, buy more stuff than the other guys"" model. It is the first hint that AOE is a simple combat game rather than a glorious empire-builder.', ""There's no denying the thrill the first time a villager chucks a spear at an antelope and spends several minutes hacking meat from its flank with a stone tool. This is the level of detail that brings an empire-building game to life. If only those villagers would grow and develop over the course of the game, it would make it so much more interesting. If only they would trade in their loincloths for some britches and maybe some orange camouflage, and switch from spears to arrows and rifles. Yes, that's another game, but it could easily have been done in AOE, and why it wasn't is a mystery."", ""The problem is that while enemy AI is savvy and aggressive (it can afford to be since it appears to cheat with resources), your units are bone-stupid. Path-finding is appallingly botched, with units easily getting lost or stuck. There is a waypoint system, but that hardly makes up for the fact that your units have trouble moving from point A to point B if you don't utilize it. Military units will stand idly by while someone a millimeter away is hacked to pieces. They respond not at all to enemy incursion in a village and wander aimlessly in the midst of battle. Was this deliberate so that the gamer needed to spend more time in unit management? If so, it was a poor idea, since there is simply too much going on midgame to worry about whether your military is allowing itself to be butchered in one corner of the map while you are aggressively tending to a battle in another portion."", ""AOE obviously is sticking close to an early-empire motif, and there's nothing at all wrong with that. Stone, Tool, Bronze, and Iron are the four ages, and with each come new structures and military units. You don't earn these advanced ages - you buy them with resources. Advancement is a simple matter of hoarding and spending food and gold. The overall welfare of your state is irrelevant as long as it survives: happiness is not measured, trade is barely modeled, and the state exists merely to produce a military machine to crush everyone else on the map. Naval power has a woefully unbalancing effect upon gameplay, with a strong navy able to shred the competition at the expense of reality."", 'Micromanagement is the name of the game in AOE. There is no unit queue, and to build five villagers, you need to build one, wait, build another, and so on. With units acting so stupidly, you should be able to set their level of aggression and the manner in which they attack (a la Dark Reign), but that is also not an option. Diplomacy is relegated to tribute and nothing more, and alliances are hard to form. You can be allied, neutral, or at war with other civs, but if the radio button is still set to ""allied"" when an opponent starts firing on your units, your units will not fire back, defend themselves, or even flee. They will just be destroyed. Cues as to exactly what\'s happening on the map are obscure; the duty has been relegated to unrelated sound effects. Does that bugle call mean my building is finished being built, or my units are under attack? How about some help, people? Victory conditions can also be irritating. There are several campaigns that require that specific goals be met, and these quickly grow tiresome. Thankfully, there is an excellent custom generator that lets you set map size, starting tech, resources, and other features. This is the saving grace of AOE, and what kept me coming back again and again. The main reason is that it let me change some of the insane default victory requirements, such as when the victor is the first to build a ""wonder"" (through another massive consumption of resources) that stands for 2000 years. These 2000 years can pass in about twenty minutes of game time. That means that as soon as an opponent builds a wonder, you create a whacking huge navy to go over and blow it up. Not a very subtle way to maintain an empire. In fact, there is no strategic nuance: It is merely a brawny muscle contest.', ""If all these judgments seem harsh, it is only because Age of Empires looked, and pretends, to be so very much more. It still has tons of potential and a fundamental gameplay that remains entertaining enough to overcome the flaws and merit a fair rating. The system can go very far with some fine-tuning, but as it stands it seems downright schizo. Is it a simplified Civilization or a modestly beefed up Warcraft? It's almost as if the designers started out to create one game and ended up with another. With such beautiful production and the fundamentals of a vastly entertaining game, it's sad that it fell short of the mark. The disappointment is not merely with what AOE is, but with what it failed to be. <i>--T. Liam McDonald</i> <br /><i>Copyright 1998 GameSpot Inc. All rights reserved. Reproduction in whole or in part in any form or medium without express written permission of GameSpot is prohibited.</i> -- <i>GameSpot Review</i>""]"
919,Unreal Mission Pack - PC,"['This software is BRAND NEW. Packaging may differ slightly from the stock photo above. Please click on our logo above to see over 15,000 titles in stock.', ""The difficulty in reviewing a game like Unreal is keeping in mind what has come before it while at the same time allowing the game to flesh out its own sense of style and gameplay. Unreal is not Quake. The look is different. The feel is different. And what gives Unreal an edge is how these differences, while not always positive, distinguish it from the legions of other 3D shooters. <P> In Unreal, you are a prisoner aboard a ship en route to a penal colony. The ship crashes on a mysterious planet where the mystical Nali race is being subjugated by the cruel and technologically advanced Skaarj. As you journey through the many environments on the planet, you must find a means of escape from the planet and help the Nali defeat their oppressors. Unreal intertwines the feel of the medieval Nali architecture and culture with the sci-fi design of the weapons and the Skaarj warriors to create an environment that's a step above other games of its ilk. <P> As far as the game itself, the graphics are incredible. Unreal has the best graphics of any first-person shooter - and possibly of any game - to date. The palette is bright and varied, while the textures are intricate and well defined. The quality of textures deserves high praise - they help create environments that really take hold of you. The levels are so detailed and distinct that it's easy to distinguish one level from all the others, and you won't confuse the prison spacecraft for the Nali village. In conjunction with the graphics, the level design is advanced and complex. The mix of wide-open spaces and cramped hallways is refreshing. As far as graphics go, you just can't beat Unreal's immersion factor. <P> Combining an alien world with weapons that seem alien themselves has produced some interesting results. As varied as the ten weapons are, there's also an alternate method of firing each of them (the 8-Ball Launcher, Unreal's equivalent of a rocket launcher, can also be used as a grenade launcher). This wide range of attack styles will undoubtedly produce higher degrees of strategy in deathmatch play. As for single-player, the weapon placement and location was spaced out evenly, and finding ammunition was not a daunting task. <P> One of Unreal's best features is the enemy AI. In other games, the logic of certain creature actions seems to be linear and undefined. In Unreal, each opponent attacks with its own style, using a combination of melee and ranged attacks. One of the most impressive experiences (if not the most aggravating) was seeing a well-placed rocket shot miss because a Skaarj dodged it at the last second. Another eye-catching sight was watching different enemies power up shields to protect themselves in the midst of battle. <P> As far as problems go, there are some, but they don't hurt gameplay enough to reduce the overall experience. The first is that there are too few enemy model types. Unreal has only six main enemy models, but the design team has done a pretty good job of using different skins to create a variety of opponents. In addition, there are other models for the random critters that you fight throughout your adventuring. <P> Another complaint deals with the pace of gameplay. Sometimes the pace of action seems too stretched out, and it feels as if each battle is just the same as the last. However, these gaps were few, and for the most part the game pacing and plot development were enjoyable. On the puzzle-solving side, there isn't much to be had; most of the game you simply push buttons to open a path leading to the next level. But your actions involving them are well integrated into the plot. There are few complex puzzles to solve; it's doubtful that Unreal would benefit from more in that area. <P> Lastly, the weapons are pretty cool, but there's no simplicity in design. Each gun takes some practice to understand its use and benefits, but in the end, you spend too much time learning. Rather than give you instinctual weapons (like a basic shotgun or machine gun), Unreal's unusual weaponry forces you to adjust the way you play, without much added benefit of weapon ferocity or visceral gratification. <P> If you're looking to hone your deathmatch skills, however, you're going to find playing online to be next to impossible. The developers have stated in the readme.txt file that the game is still in the tweaking phase as far as Internet play is concerned. But with seemingly boundless game customizability options as well as in-package deathmatch levels, Unreal gives you everything you need to practice for the big time. It even gives you a choice of bots designed by Steve Polge to test your mettle. This was probably one of the most enjoyable features, and after you've finished the game you can go in and set up your own games for a single-player deathmatch experience. <P> Unreal is a truly great single-player game. It's hard to say whether it will stand the test of the first-person action-shooter wars and become a classic in and of itself. It will definitely have to overcome the lack of a decent Internet experience if it wants to obtain any more accolades, but, apart from that, it offers as much as you could possibly want from a game in this genre. <I>--Tahsin Shamma</I><BR>--<i>Copyright &copy;1998 GameSpot Inc. All rights reserved. Reproduction in whole or in part in any form or medium without express written permission of GameSpot is prohibited.</i> -- <i>GameSpot Review</i>""]"
920,Blood 2: The Chosen - PC,"['The original Blood won numerous fans, despite the fact that it was a 2D shooter released nearly a year after Quake made 3D environments standard. The clever level design and wisecracking antihero, Caleb, made up for the fact that the game was a technical throwback. Now, just over a year after the original hit stores, Monolith Productions has released a sequel. Based on Monolith\'s own LithTech engine, Blood II: The Chosen features some strong technical elements. The engine provides solid graphics (better than Quake II, not as good as Unreal), decent control, and great animation. But Blood II lacks some of the innovation of the original; the horror-theme is less pronounced, and the level design doesn\'t stray far from the average. <P> Blood II is excellent in several respects. Most of the weapons look and sound great, with the most notable example being the shotgun, which looks menacing and sounds even more so. The howitzer is also noteworthy, while the submachine gun looks bland, though it sounds good. On the low end of the spectrum is the Die Bug Die, a powerful insect repellent that neither looks nor sounds like it should be one of the more powerful weapons. There is a wide variety of weapons, and because you can only hold ten at a time, you must occasionally discard some. It\'s a nice feature, and one that lets you tailor your arsenal to your liking. <P> The animations are another high point in Blood II. Enemies move smoothly and look great. They die in a variety of ways, and you\'ll undoubtedly be struck the first time you see a human writhing on the ground after a grievous gut wound. On the downside, Blood II\'s artificial intelligence leaves something to be desired. Enemies usually won\'t attack until you come right into their line of sight and occasionally won\'t respond when attacked. The AI is better than in the first release of Shogo: Mobile Armor Division, Monolith\'s other LithTech-based shooter, but it\'s still nowhere near the level of Half-Life\'s believable enemy behavior. <P> Blood II looks impressive. The levels feature diverse appearances and spectacular colored lighting. The textures are great, and areas such as a tenement building and a museum are amazingly detailed. The levels themselves are diverse as well. In the first chapter alone, you\'ll travel from an ornate museum to a huge science facility to the alleys of an ominious city street to a futuristic flying machine. The game sounds just as good, with funny wisecracks, great ambient sounds, and an appropriately dark, techno soundtrack. <P> The major problem with Blood II is its pacing. Despite how good the levels look, they are at times confusing, with a variety of similar-looking corridors. Blood II uses a very traditional level design philosophy, and the need to find keys and push buttons is abundant. The designers are self-consciously aware of this, including jokes such as a mission briefing that tells you to push some buttons and kill some things, and a huge glowing sign advertising ""silver key industries."" Still, making jokes about it doesn\'t really help. Worse, you\'ll often go back through levels you\'ve already been through, arriving at any number of dead ends until you find the new path that has opened since your last visit. And while Blood II offers a variety of weapons and enemies, they are unevenly distributed, giving way to long stretches of the game in which you face the same group of monsters with the same group of weapons. <P> Blood II is by no means bad. In single-player, it is on par with Quake II, but lacking the innovation of Jedi Knight or Half-Life. Multiplayer with the LithTech engine still suffers from some of Shogo\'s latency problems, but the wide variety of weapons should make for some good deathmatching when Monolith gets those problems fixed. It\'s hard not to feel that Blood II is a step back in light of Half-Life; there\'s little sense of urgency, drama, or excitement. But it\'s hard to fault Blood II for not doing anything new; it sets out to be a traditional shooter and does a good, if not great, job. <i>--Ron Dulin</I> <BR>--<i>Copyright &copy;1998 GameSpot Inc. All rights reserved. Reproduction in whole or in part in any form or medium without express written permission of GameSpot is prohibited.</i> -- <i>GameSpot Review</i>']"
921,Asteroids,"[""A fantastic remake of the 1979 quarter-slot original, this <I>Asteroids</I> is even more addictive, with nostalgic sound effects in 3-D worlds and cinematic cut scenes. It's chaos in space as you destroy asteroids with smart bombs, ramming shields, and gun satellites."", 'If the continual revolution of gaming were instead a Maoist revolution, some of us reactionaries would be put to death. ""When I was your age, we played Tomb Raider with real tombs."" But it\'s true. When I was a kid I couldn\'t wait for technology to advance to the point where Pac-Man ate real food, and the worker droids of M.U.L.E. delivered precious ores to my door if I won. Oddly, rather than harnessing new technologies for a teleologically perfect Pong, developers have for the most part spent their time coming up with entirely new kinds of games. And imperfect classics like the vector graphics-driven Asteroids were buried, first by side scrollers, then by 3D. <P> With Asteroids, Activision is attempting to satisfy the crotchety old man in all of us by bringing the old game back to the future with the core of its gameplay intact. And Asteroids succeeds in doing just that. This is definitely Asteroids. Lots of big rocks. One tiny ship that reappears on the left when you exit stage right. This is 2D folks, despite the 3D look of the spinning asteroids and miscellaneous debris. And while the rocks do look prettier, and the black background has been replaced with various handsome nebulae and a panorama of space dust (didn\'t they figure out that stuff was actually ice?), the gameplay itself is faithful to the original and in no way iconoclastic. The basic controls are the same as in the original. It\'s simple: rotate (left and right), thrust, shields, a 180-degree flip, fire, and hyperspace. Come to think of it, that sounds like a lot for 1979. At any rate, then and now it was (and is) a simple but effective recipe for blistered fingers. Rather than alter the Space Colonel\'s original recipe, Activision has opted to simply outfit Asteroids with gobs of bells and whistles. That sounds like a mistake, but it\'s not, and gameplay is only enriched for the power windows and fuel injection. There are more enemy ships, but they\'re still more cute than threatening. Special asteroids, like the regenerating Crystal Asteroids and the aptly named Indestructible Asteroid, make for an interesting diversion. The environment is made slightly more rocky with the advent of black holes (mild ones that suck you a little ways toward your doom) and stars that occasionally spurt deadly hydrogen gas. By far the coolest addition to the formula is the inclusion of power-ups. Lots of them. Ramming shields, homing missiles, smart bombs, and my favorite, the GunSat, a gun turret that orbits your craft, blasting indiscriminately and blocking incoming objects. There are dozens of different power-ups, and they\'re all very cool. <P> Though not much to look at when compared with most of today\'s games, one can\'t help but feel like anything flashier would have altered the game\'s feel or, worse yet, its play mechanics. That said, the ships aren\'t much to look at, though the simplicity of your primary weapon\'s tiny green dots of light is nicely understated. The sound of the original is echoed here rather tastefully: Enemy craft still sound oddly like tiny alien police sirens, and asteroids burst asunder with a reasonable and modest crunch. One thing I could never figure out about the original stand-up: For a game about battling giant, potentially world-destroying boulders, why did everything feel so tiny? That cuteness is in full force in the remake and somehow makes some kind of cosmic sense. <P> It\'s great that somebody is remaking old games and making them better, rather than just licensing names and tacking them onto non sequitur first-person shooters. Activision has a winner here. Asteroids is 100 percent true to the feel of the original, with terrific new power-ups to spice things up. Though not likely to make anyone quit his day job - how many times could anyone want to clear another screen of debris? - it\'s fun to give a damn about high scores again. <I>--Josh Smith</I> <BR><I>Copyright &copy;1998 GameSpot Inc. All rights reserved. Reproduction in whole or in part in any form or medium without express written permission of GameSpot is prohibited.</I> -- <i>GameSpot Review</i>']"
922,Micro Machines 1 &amp; 2: Twin Turbo,"['This game gives new meaning to the phrase ""Take two, they\'re small."" <I>Micro Machines 1 &amp; 2: Twin Turbo</I> literally gives you two games on one cartridge. This is an unconventional arcade-style racer where the tiny vehicles are seen from a top-down perspective. There are no pit stops to plan for, nor is there oil pressure for you to worry about--just motorized mayhem on a miniature scale. Identical in gameplay, each game in <I>Micro Machines 1 &amp; 2: Twin Turbo</I> offers 24 unique tracks that, from your microperspective, seem enormous! You\'ll race around gigantic breakfast tables, bathtubs, desks, and gardens. With simple gameplay and quirky, colorful graphics, this game should appeal to gamers of all ages.', 'If history is any indication, Codemasters\' Micro Machines series is going to be with us for a long time. Name any game system, and chances are it\'s had a Micro Machines title on it. The NES original was a triumph of gameplay and quality, and it transferred well to the black-and-white Game Boy a few years later. In the 16-bit days, the libraries of the SNES and the Genesis were graced by a Micro Machines title as well. Even in this age of ""modern"" gaming, the glitz and glamour required by next-generation games have been kind to the series, resulting in two enjoyable PlayStation releases. Now, THQ brings the series back to its roots in the Game Boy Color version of Micro Machines 1 and 2: Twin Turbo. You read correctly, two games for the price of one. Those who\'ve been playing the Micro Machines series since the beginning will recognize this game, since it\'s basically a colorized update of the two prior Game Boy releases, only without the flicker and slowdown. For those new to the series, Micro Machines 1 and 2 is a top-down arcade-style racing game honoring Galoob\'s lovable minivehicles. After choosing your driver, you zoom along track after track of surreal raceways, such as a breakfast table, a bathtub, a pool table, or even a child\'s desk. The first game on the cartridge, Micro Machines, has 24 bizarrely unique tracks to race on, while the second, Micro Machines 2: Twin Turbo offers up an additional 24 for your racing pleasure. Other than the second title\'s larger sprites, both games play identical to each other: Press A to accelerate, press B to back up/decelerate, and use the D-Pad to steer your car. Driving is responsive, the difficulty is balanced, and the gameplay is as noncomplex as can be. In fact, the only visible flaws in each title\'s gameplay are those that have been with the series from the beginning: Recovery from crashes in the first game is far too lengthy, while the increased sprite size of the second game makes everything a bit difficult to react to. Though worthy of mention, these flaws are minor in effect, and only the most nitpicky of gamers will find themselves annoyed by them. Oddly enough, one of the flaws that had been fixed in the previous Game Boy version of Micro Machines is back in this release. The two-player mode is not a link-cable-style mode. Instead, player one must use the D-Pad to steer, and player two must use the A and B buttons, while both cars accelerate forward at top speed. Even though this setup preserves the sanctity of the original NES release, it relegates two-player matches to the realm of novelty rather than utility. Additionally, with the amount of courses available, the presence of a save feature (password or otherwise) would have been nice. Twenty-four courses is a bit much to complete in a sitting. As it stands though, these flaws don\'t detract from the overall quality of gameplay, but both games would have been more enjoyable had these concerns been addressed. Speaking of quality and enjoyment, do you like vibrant, well-drawn graphics? How about sound and music that make for an enjoyable gaming experience? If so, Micro Machines 1 and 2: Twin Turbo aims to please. Somehow, developer On-line has managed to re-create every detail and touch of the Codemasters\' original within the confines of the GBC\'s 160x144 resolution. School binders look like binders, oranges look like juicy oranges, and eating utensils look just like real forks and spoons. That sentence alone should convey how quirky and wonderful the game\'s graphics are. However, for those who focus on minor details, the presence of dust particles, explosions, and parallax scrolling ought to please even the most jaded gamer. Even the GBC\'s oft-maligned speaker sees superb use throughout the game. The music is trippy and engaging, engine sounds fit the miniaturized vehicles perfectly, and crash-and-spill sound effects almost make one think the game has a rumble feature. Sure, the sound is sparse at times, but it never comes across as tinny or scratchy. Unlike recent games that attempt to imitate the gameplay and style of Micro Machines, Micro Machines 1 and 2: Twin Turbo proves that nothing can improve on a series that neared perfection to begin with. Not only that, but you get two games for the price of one with this release, making for an unregrettable purchase.<i>--Frank Provo</i>--<i>Copyright &#169; 1998 GameSpot Inc. All rights reserved. Reproduction in whole or in part in any form or medium without express written permission of GameSpot is prohibited.</i> -- <i>GameSpot Review</i>']"
